;director_name;actor_1_name;actor_2_name;actor_3_name;movie_title;imdb_score;title_year
3365;Don Siegel;Clint Eastwood;Patrick McGoohan;Fred Ward;Escape from Alcatraz ;7.6;1979.0
3370;George A. Romero;Ted Danson;Hal Holbrook;Adrienne Barbeau;Creepshow ;6.9;1982.0
3372;Ken Shapiro;Brian Doyle-Murray;Dabney Coleman;Mary Kay Place;Modern Problems ;5.0;1981.0
3375;Peter R. Hunt;Telly Savalas;George Lazenby;Desmond Llewelyn;On Her Majesty's Secret Service ;6.8;1969.0
3407;Michael Winner;Faye Dunaway;Marina Sirtis;John Gielgud;The Wicked Lady ;4.0;1983.0
3423;Katsuhiro Ôtomo;Mitsuo Iwata;Takeshi Kusao;Tesshô Genda;Akira ;8.1;1988.0
3432;David Webb Peoples;Delroy Lindo;Joan Chen;Anna Katarina;The Blood of Heroes ;6.5;1989.0
3434;Bruce Beresford;Morgan Freeman;Jessica Tandy;Patti LuPone;Driving Miss Daisy ;7.4;1989.0
3442;Tony Richardson;Joely Richardson;Beau Bridges;Nastassja Kinski;The Hotel New Hampshire ;6.0;1984.0
3465;Guy Hamilton;Desmond Llewelyn;Lois Maxwell;Jill St. John;Diamonds Are Forever ;6.7;1971.0
3466;Francis Ford Coppola;Al Pacino;Marlon Brando;Robert Duvall;The Godfather ;9.2;1972.0
3467;Adrian Lyne;Michael Nouri;Cynthia Rhodes;Lee Ving;Flashdance ;6.1;1983.0
3472;Guy Hamilton;Yaphet Kotto;Geoffrey Holder;Clifton James;Live and Let Die ;6.8;1973.0
3482;Michael Anderson;Farrah Fawcett;Jenny Agutter;Peter Ustinov;Logan's Run ;6.8;1976.0
3483;Guy Hamilton;Christopher Lee;Hervé Villechaize;Desmond Llewelyn;The Man with the Golden Gun ;6.8;1974.0
3484;Craig R. Baxley;Bill Duke;Vanity;Carl Weathers;Action Jackson ;5.2;1988.0
3495;Sharron Miller;Bernard Fox;Elizabeth MacRae;Charles Aidman;Alien Zone ;4.1;1978.0
3498;Steve Miner;Julian Sands;Richard E. Grant;Lori Singer;Warlock ;6.2;1989.0
3501;Martin Scorsese;Irvin Kershner;Barbara Hershey;Roberts Blossom;The Last Temptation of Christ ;7.6;1988.0
3519;Curtis Hanson;Tom Cruise;Shelley Long;Rick Rossovich;Losin' It ;4.8;1983.0
3521;Dick Richards;Catherine Deneuve;Terence Hill;Jack O'Halloran;March or Die ;6.3;1977.0
3540;Clint Eastwood;Clint Eastwood;Chris Penn;Sydney Penny;Pale Rider ;7.3;1985.0
3557;Luis Valdez;Esai Morales;Rosanna DeSoto;Danielle von Zerneck;La Bamba ;6.8;1987.0
3558;Alan Alda;Rita Moreno;Len Cariou;Sandy Dennis;The Four Seasons ;7.2;1981.0
3559;Brian De Palma;Angie Dickinson;David Margulies;Nancy Allen;Dressed to Kill ;7.1;1980.0
3563;Robert Wise;David Wayne;Paula Kelly;Eric Christmas;The Andromeda Strain ;7.2;1971.0
3575;James Cameron;Michael Biehn;Brian Thompson;Paul Winfield;The Terminator ;8.1;1984.0
3578;Dan O'Bannon;Linnea Quigley;Clu Gulager;Beverly Randolph;The Return of the Living Dead ;7.3;1985.0
3581;Randal Kleiser;Olivia Newton-John;Stockard Channing;Sid Caesar;Grease ;7.2;1978.0
3582;Oliver Stone;Johnny Depp;Tom Berenger;Kevin Dillon;Platoon ;8.1;1986.0
3584;George Roy Hill;Katharine Ross;Ted Cassidy;Kenneth Mars;Butch Cassidy and the Sundance Kid ;8.1;1969.0
3585;Robert Stevenson;Ed Wynn;Glynis Johns;Elsa Lanchester;Mary Poppins ;7.8;1964.0
3586;Robert Redford;Adam Baldwin;Elizabeth McGovern;Judd Hirsch;Ordinary People ;7.8;1980.0
3588;Jerome Robbins;Rita Moreno;George Chakiris;Richard Beymer;West Side Story ;7.6;1961.0
3589;Harold Ramis;Bill Murray;Rodney Dangerfield;Brian Doyle-Murray;Caddyshack ;7.4;1980.0
3593;Stephen Hopkins;Lisa Wilcox;Kelly Jo Minter;Matthew Borlenghi;A Nightmare on Elm Street 5: The Dream Child ;5.1;1989.0
3596;King Vidor;Joseph Cotten;Lillian Gish;Jennifer Jones;Duel in the Sun ;6.9;1946.0
3598;John Carpenter;Donald Pleasence;Adrienne Barbeau;Tom Atkins;Escape from New York ;7.2;1981.0
3599;Spike Lee;Tisha Campbell-Martin;Ossie Davis;Bill Nunn;School Daze ;5.8;1988.0
3603;Donald Petrie;Julia Roberts;Lili Taylor;Conchata Ferrell;Mystic Pizza ;6.2;1988.0
3608;Dominique Othenin-Girard;Donald Pleasence;Tamara Glynn;Troy Evans;Halloween 5 ;5.2;1989.0
3630;Sam Peckinpah;William Holden;Warren Oates;L.Q. Jones;The Wild Bunch ;8.0;1969.0
3632;Michael Crichton;Lesley-Anne Down;Michael Elphick;Pamela Salem;The Great Train Robbery ;7.0;1979.0
3641;Fred Zinnemann;Meryl Streep;Jane Fonda;Vanessa Redgrave;Julia ;7.4;1977.0
3651;David Cronenberg;Debbie Harry;Leslie Carlson;Reiner Schwarz;Videodrome ;7.3;1983.0
3657;John Frankenheimer;Jeanne Moreau;Paul Scofield;Michel Simon;The Train ;7.9;1964.0
3668;George Roy Hill;Eileen Brennan;Robert Shaw;Ray Walston;The Sting ;8.3;1973.0
3669;Hugh Hudson;Alice Krige;Ben Cross;John Gielgud;Chariots of Fire ;7.2;1981.0
3673;Clint Eastwood;Clint Eastwood;Richard Bull;John Hillerman;High Plains Drifter ;7.6;1973.0
3676;William Sachs;Stephen Macht;Avery Schreiber;Angelo Rossitto;Galaxina ;3.4;1980.0
3680;Spike Lee;Ruby Dee;John Savage;Danny Aiello;Do the Right Thing ;7.9;1989.0
3694;Jeannot Szwarc;Teresa Wright;Bill Erwin;George Voskovec;Somewhere in Time ;7.3;1980.0
3703;Chuck Russell;John Saxon;Heather Langenkamp;Jennifer Rubin;A Nightmare on Elm Street 3: Dream Warriors ;6.6;1987.0
3707;Henry Koster;Richard Burton;Jean Simmons;Victor Mature;The Robe ;6.8;1953.0
3708;Blake Edwards;Burt Kwouk;Herbert Lom;Catherine Schell;The Return of the Pink Panther ;7.1;1975.0
3711;Richard Fleischer;James Mason;Robert J. Wilke;Paul Lukas;20,000 Leagues Under the Sea ;7.2;1954.0
3713;David Lynch;Anthony Hopkins;Anne Bancroft;Dexter Fletcher;The Elephant Man ;8.2;1980.0
3722;George Miller;Tony Bonner;Jack Thompson;Tom Burlinson;The Man from Snowy River ;7.3;1982.0
3725;Frank Perry;Faye Dunaway;Xander Berkeley;Diana Scarwid;Mommie Dearest ;6.7;1981.0
3734;Michael Curtiz;Gene Tierney;Peter Ustinov;Jean Simmons;The Egyptian ;6.6;1954.0
3735;Bruce Malmuth;Sylvester Stallone;Lindsay Wagner;Persis Khambatta;Nighthawks ;6.4;1981.0
3736;Rob Hedden;Kane Hodder;Peter Mark Richman;Scott Reeves;Friday the 13th Part VIII: Jason Takes Manhattan ;4.5;1989.0
3744;Dwight H. Little;Donald Pleasence;Kathleen Kinmont;Ellie Cornell;Halloween 4: The Return of Michael Myers ;5.9;1988.0
3745;Fred Walton;Thomas F. Wilson;Deborah Foreman;Clayton Rohner;April Fool's Day ;6.2;1986.0
3746;Barry Levinson;Steve Guttenberg;Daniel Stern;Ellen Barkin;Diner ;7.2;1982.0
3747;Steve Carver;David Carradine;William Sanderson;Robert Beltran;Lone Wolf McQuade ;6.3;1983.0
3751;Don Coscarelli;Vanna Bonta;John Amos;Rip Torn;The Beastmaster ;6.2;1982.0
3752;King Vidor;Gina Lollobrigida;George Sanders;Finlay Currie;Solomon and Sheba ;6.2;1959.0
3755;Frank Borzage;Gary Cooper;Helen Hayes;Adolphe Menjou;A Farewell to Arms ;6.6;1932.0
3760;Richard Lester;Robert Shaw;Denholm Elliott;Nicol Williamson;Robin and Marian ;6.6;1976.0
3762;Guy Hamilton;Harrison Ford;Carl Weathers;Franco Nero;Force 10 from Navarone ;6.3;1978.0
3763;Jay Levey;Fran Drescher;Gedde Watanabe;Michael Richards;UHF ;7.0;1989.0
3766;Sergio Leone;Claudia Cardinale;Woody Strode;Jack Elam;Once Upon a Time in the West ;8.6;1968.0
3774;Jerry Belson;Cassandra Peterson;Tim Thomerson;Bess Armstrong;Jekyll and Hyde... Together Again ;6.2;1982.0
3791;Dennis Hopper;Raymond Burr;Don Gordon;Jim Byrnes;Out of the Blue ;7.2;1980.0
3794;Richard Wallace;Judith Anderson;Paul Fix;Laraine Day;Tycoon ;6.2;1947.0
3814;Peter Hyams;David Huddleston;Sam Waterston;Hal Holbrook;Capricorn One ;6.8;1977.0
3826;Frank LaLoggia;Alex Rocco;Lukas Haas;Katherine Helmond;Lady in White ;6.7;1988.0
3829;Tobe Hooper;Bill Johnson;Lou Perryman;Jim Siedow;The Texas Chainsaw Massacre 2 ;5.5;1986.0
3830;Sam Peckinpah;James Coburn;Bob Dylan;Jason Robards;Pat Garrett & Billy the Kid ;7.4;1973.0
3841;Hugh Wilson;Steve Guttenberg;Bubba Smith;Michael Winslow;Police Academy ;6.7;1984.0
3842;Randal Kleiser;Brooke Shields;Christopher Atkins;Leo McKern;The Blue Lagoon ;5.7;1980.0
3844;Amy Heckerling;Jennifer Jason Leigh;Judge Reinhold;Vincent Schiavelli;Fast Times at Ridgemont High ;7.2;1982.0
3845;John Huston;Royal Dano;Richard Basehart;James Robertson Justice;Moby Dick ;7.4;1956.0
3850;Walter Lang;Dana Andrews;Jeanne Crain;Frank McHugh;State Fair ;7.1;1945.0
3852;Oliver Stone;Jim Belushi;John Savage;Juan Fernández;Salvador ;7.5;1986.0
3867;Milos Forman;Scatman Crothers;Michael Berryman;Louise Fletcher;One Flew Over the Cuckoo's Nest ;8.7;1975.0
3869;Mel Brooks;Sid Caesar;Dom DeLuise;Bernadette Peters;Silent Movie ;6.7;1976.0
3885;Bob Clark;Art Hindle;Susan Clark;Tony Ganios;Porky's ;6.2;1981.0
3887;George A. Romero;Judith O'Dea;Duane Jones;S. William Hinzman;Night of the Living Dead ;8.0;1968.0
3889;Woody Allen;Woody Allen;Carol Kane;Shelley Duvall;Annie Hall ;8.1;1977.0
3890;Cecil B. DeMille;Gloria Grahame;Dorothy Lamour;Cornel Wilde;The Greatest Show on Earth ;6.7;1952.0
3896;Dan O'Bannon;Linnea Quigley;Clu Gulager;Beverly Randolph;The Return of the Living Dead ;7.3;1985.0
3897;Billy Wilder;Austin Pendleton;Harold Gould;David Wayne;The Front Page ;7.3;1974.0
3899;Carol Reed;Gina Lollobrigida;Katy Jurado;Sidney James;Trapeze ;6.8;1956.0
3902;John Carpenter;Meg Foster;Peter Jason;George 'Buck' Flower;They Live ;7.3;1988.0
3903;John Sturges;James Coburn;Donald Pleasence;Gordon Jackson;The Great Escape ;8.3;1963.0
3912;John Huston;Montgomery Clift;Kevin McCarthy;Thelma Ritter;The Misfits ;7.4;1961.0
3919;Alfred Hitchcock;Roscoe Lee Browne;John Vernon;Philippe Noiret;Topaz ;6.3;1969.0
3924;Oliver Stone;Michael Wincott;Zach Grenier;Bill Johnson;Talk Radio ;7.3;1988.0
3932;Ruggero Deodato;Michael Berryman;Eva LaRue;Richard Lynch;The Barbarians ;4.8;1987.0
3940;Renny Harlin;Viggo Mortensen;Lane Smith;Hal Landon Jr.;Prison ;5.9;1987.0
3958;Peter H. Hunt;Blythe Danner;Ken Howard;Howard Caine;1776 ;7.6;1972.0
3960;Howard Hughes;Jean Harlow;Marian Marsh;James Hall;Hell's Angels ;7.8;1930.0
3968;Fred Zinnemann;Robert Shaw;Susannah York;Paul Scofield;A Man for All Seasons ;7.9;1966.0
3969;Sidney Lumet;Robert Duvall;Faye Dunaway;William Holden;Network ;8.1;1976.0
3970;Victor Fleming;Hattie McDaniel;George Reeves;Thomas Mitchell;Gone with the Wind ;8.2;1939.0
3972;Sam Peckinpah;James Coburn;Slim Pickens;Warren Oates;Major Dundee ;6.8;1965.0
3974;George Sidney;Keenan Wynn;Howard Keel;Betty Hutton;Annie Get Your Gun ;7.0;1950.0
3978;Vincente Minnelli;Gladys Cooper;Reginald Owen;Ellen Ross;The Pirate ;7.1;1948.0
3983;John Schlesinger;Brenda Vaccaro;Barnard Hughes;John McGiver;Midnight Cowboy ;7.9;1969.0
3985;Jim Abrahams;Peter Graves;Lloyd Bridges;Barbara Billingsley;Airplane! ;7.8;1980.0
3990;Michael Gornick;George Kennedy;Holt McCallany;Dorothy Lamour;Creepshow 2 ;6.0;1987.0
3991;Sam Peckinpah;Slim Pickens;Jason Robards;L.Q. Jones;The Ballad of Cable Hogue ;7.3;1970.0
3992;Richard Brooks;John Forsythe;Robert Blake;Will Geer;In Cold Blood ;8.0;1967.0
3993;Fred Zinnemann;Colleen Dewhurst;Peter Finch;Beatrice Straight;The Nun's Story ;7.6;1959.0
3994;Jack Smight;Janet Leigh;Robert Wagner;Shelley Winters;Harper ;7.0;1966.0
3995;Alfred Hitchcock;Bernard Cribbins;Jean Marsh;Clive Swift;Frenzy ;7.5;1972.0
4001;George A. Romero;Greg Nicotero;John Amplas;Joseph Pilato;Day of the Dead ;7.2;1985.0
4003;Sam Raimi;Ted Raimi;Dan Hicks;Kassie Wesley DePaiva;Evil Dead II ;7.8;1987.0
4023;Mel Brooks;Madeline Kahn;Harvey Korman;Dick Van Patten;High Anxiety ;6.7;1977.0
4034;Bob Clark;Zack Ward;Darren McGavin;Scott Schwartz;A Christmas Story ;8.1;1983.0
4036;Mark L. Lester;Roddy McDowall;Perry King;Timothy Van Patten;Class of 1984 ;6.6;1982.0
4040;Roman Polanski;John Cassavetes;Mia Farrow;Charles Grodin;Rosemary's Baby ;8.0;1968.0
4041;John Ford;Lee Marvin;Woody Strode;Vera Miles;The Man Who Shot Liberty Valance ;8.1;1962.0
4046;John Landis;John Belushi;Karen Allen;Tim Matheson;Animal House ;7.6;1978.0
4047;Guy Hamilton;Honor Blackman;Gert Fröbe;Lois Maxwell;Goldfinger ;7.8;1964.0
4049;Frank Capra;Donna Reed;Lionel Barrymore;Thomas Mitchell;It's a Wonderful Life ;8.6;1946.0
4056;Jack Sholder;Clu Gulager;Robert Rusler;Marshall Bell;A Nightmare on Elm Street 2: Freddy's Revenge ;5.4;1985.0
4057;James Ivory;Julian Sands;Rupert Graves;Denholm Elliott;A Room with a View ;7.4;1985.0
4061;Richard Brooks;Burl Ives;Judith Anderson;Jack Carson;Cat on a Hot Tin Roof ;8.1;1958.0
4062;Ted Post;Linda Harrison;Gregory Sierra;Victor Buono;Beneath the Planet of the Apes ;6.1;1970.0
4065;Tom McLoughlin;Tony Goldwyn;Ron Palillo;Vincent Guastaferro;Jason Lives: Friday the 13th Part VI ;5.9;1986.0
4066;David Lean;William Holden;Sessue Hayakawa;Jack Hawkins;The Bridge on the River Kwai ;8.2;1957.0
4068;Alfred Hitchcock;Ed Lauter;Bruce Dern;William Devane;Family Plot ;6.8;1976.0
4069;Billy Wilder;Fred MacMurray;Ray Walston;David White;The Apartment ;8.3;1960.0
4071;Alfred Hitchcock;Tamara Toumanova;Lila Kedrova;David Opatoshu;Torn Curtain ;6.7;1966.0
4074;Michael Schultz;Blair Underwood;LisaGay Hamilton;Bobby Brown;Krush Groove ;6.6;1985.0
4076;Richard Brooks;Shirley Jones;Jean Simmons;Edward Andrews;Elmer Gantry ;7.9;1960.0
4077;Stanley Kramer;Maximilian Schell;Montgomery Clift;Spencer Tracy;Judgment at Nuremberg ;8.3;1961.0
4080;Howard Hawks;Montgomery Clift;Walter Brennan;Harry Carey Jr.;Red River ;7.8;1948.0
4083;Christopher Leitch;John Astin;Robert Neary;Kim Darby;Teen Wolf Too ;3.2;1987.0
4084;Don Coscarelli;Angus Scrimm;A. Michael Baldwin;James Le Gros;Phantasm II ;6.5;1988.0
4093;Mel Stuart;Peter Ostrum;Jack Albertson;Julie Dawn Cole;Willy Wonka & the Chocolate Factory ;7.8;1971.0
4096;Terrence Malick;Sam Shepard;Stuart Margolin;Richard Libertini;Days of Heaven ;8.0;1978.0
4135;John Boorman;Lee Marvin;Angie Dickinson;Carroll O'Connor;Point Blank ;7.4;1967.0
4140;Monte Hellman;Everett McGill;Jack Taylor;Fabio Testi;Iguana ;6.2;1988.0
4145;Frank Capra;Ann-Margret;Glenn Ford;Thomas Mitchell;Pocketful of Miracles ;7.3;1961.0
4150;Richard Donner;Lee Remick;Patrick Troughton;Billie Whitelaw;The Omen ;7.6;1976.0
4155;Billy Wilder;Nehemiah Persoff;Joe E. Brown;George Raft;Some Like It Hot ;8.3;1959.0
4156;John Carl Buechler;Kane Hodder;Terry Kiser;William Butler;Friday the 13th Part VII: The New Blood ;5.3;1988.0
4157;Victor Fleming;Margaret Hamilton;Terry;Billie Burke;The Wizard of Oz ;8.1;1939.0
4158;Mel Brooks;Madeline Kahn;Peter Boyle;Teri Garr;Young Frankenstein ;8.0;1974.0
4162;Carroll Ballard;Teri Garr;Kelly Reno;Hoyt Axton;The Black Stallion ;7.4;1979.0
4165;John Ford;Lee Marvin;Cesar Romero;Jack Warden;Donovan's Reef ;6.9;1963.0
4167;Victor Fleming;Spencer Tracy;Esther Williams;Irene Dunne;A Guy Named Joe ;7.0;1943.0
4168;Mel Brooks;Madeline Kahn;David Huddleston;Harvey Korman;Blazing Saddles ;7.8;1974.0
4169;Joseph Zito;Judie Aronson;Tom Everett;Kimberly Beck;Friday the 13th: The Final Chapter ;5.9;1984.0
4171;James Ivory;Rupert Graves;Denholm Elliott;Simon Callow;Maurice ;7.8;1987.0
4178;Stanley Donen;Rita Moreno;Debbie Reynolds;Cyd Charisse;Singin' in the Rain ;8.3;1952.0
4184;Tommy Lee Wallace;Tom Atkins;Dan O'Herlihy;Nancy Kyes;Halloween III: Season of the Witch ;4.6;1982.0
4185;Don Taylor;Roddy McDowall;M. Emmet Walsh;Sal Mineo;Escape from the Planet of the Apes ;6.3;1971.0
4186;Martin Ritt;Patricia Neal;Melvyn Douglas;Whit Bissell;Hud ;7.9;1963.0
4218;George Sidney;Esther Williams;Basil Rathbone;Red Skelton;Bathing Beauty ;6.5;1944.0
4221;George Sidney;Agnes Moorehead;Ava Gardner;Howard Keel;Show Boat ;7.0;1951.0
4224;Jerry Rees;Jon Lovitz;Phil Hartman;Mindy Sterling;The Brave Little Toaster ;7.3;1987.0
4225;James Algar;Leopold Stokowski;Deems Taylor;;Fantasia ;7.8;1940.0
4226;William Friedkin;Roy Scheider;Fernando Rey;Tony Lo Bianco;The French Connection ;7.8;1971.0
4228;Steve Miner;Richard Brooker;Dana Kimmell;Catherine Parks;Friday the 13th Part III ;5.7;1982.0
4229;Danny Steinmann;Tiffany Helm;Melanie Kinnaman;Dominick Brascia;Friday the 13th: A New Beginning ;4.7;1985.0
4233;Tay Garnett;Jessica Tandy;Greer Garson;Lionel Barrymore;The Valley of Decision ;7.5;1945.0
4238;William Wyler;Myrna Loy;Teresa Wright;Dana Andrews;The Best Years of Our Lives ;8.1;1946.0
4247;Terence Young;Robert Shaw;Daniela Bianchi;Lois Maxwell;From Russia with Love ;7.5;1963.0
4248;Michael Herz;Phoebe Legere;Jessica Dublin;Lisa Gaye;The Toxic Avenger Part II ;5.1;1989.0
4250;Woody Allen;Woody Allen;John Beck;Mews Small;Sleeper ;7.3;1973.0
4252;Woody Allen;Woody Allen;John Carradine;Lynn Redgrave;Everything You Always Wanted to Know About Sex * But Were Afraid to Ask ;6.8;1972.0
4253;Robert Mulligan;Robert Duvall;Brock Peters;William Windom;To Kill a Mockingbird ;8.4;1962.0
4254;George Miller;Vernon Wells;Bruce Spence;Kjell Nilsson;Mad Max 2: The Road Warrior ;7.6;1981.0
4256;Stanley Kubrick;James Mason;Shelley Winters;Lois Maxwell;Lolita ;7.7;1962.0
4261;Robert Rossen;George C. Scott;Jackie Gleason;Murray Hamilton;The Hustler ;8.0;1961.0
4262;Jack Conway;Hedy Lamarr;Spencer Tracy;Claudette Colbert;Boom Town ;7.1;1940.0
4269;Elia Kazan;Dean Stockwell;Celeste Holm;John Garfield;Gentleman's Agreement ;7.4;1947.0
4272;Henry King;Tyrone Power;Don Ameche;John Carradine;Alexander's Ragtime Band ;7.0;1938.0
4280;Kevin Tenney;Kathleen Wilhoite;Tawny Kitaen;Rose Marie;Witchboard ;5.7;1986.0
4295;Luc Besson;Christopher Lambert;Isabelle Adjani;Jean-Hugues Anglade;Subway ;6.5;1985.0
4324;Woody Allen;Woody Allen;Charlotte Rae;Louise Lasser;Bananas ;7.1;1971.0
4328;Orson Welles;Rita Hayworth;Everett Sloane;Ted de Corsia;The Lady from Shanghai ;7.7;1947.0
4335;Harald Reinl;Christopher Lee;Lex Barker;Karin Dor;The Torture Chamber of Dr. Sadism ;6.0;1967.0
4337;Richard Lester;Buster Keaton;Zero Mostel;Phil Silvers;A Funny Thing Happened on the Way to the Forum ;7.0;1966.0
4343;Tim Hunter;Keanu Reeves;Daniel Roebuck;Ione Skye;River's Edge ;7.1;1986.0
4352;Wes Craven;Johnny Depp;Lin Shaye;Amanda Wyss;A Nightmare on Elm Street ;7.5;1984.0
4358;Elia Kazan;Marlon Brando;Karl Malden;Kim Hunter;A Streetcar Named Desire ;8.0;1951.0
4359;Stanley Kubrick;George C. Scott;Slim Pickens;Keenan Wynn;Dr. Strangelove or: How I Learned to Stop Worrying and Love the Bomb ;8.5;1964.0
4362;J. Lee Thompson;Roddy McDowall;Paul Williams;Claude Akins;Battle for the Planet of the Apes ;5.5;1973.0
4369;Ted Post;Clint Eastwood;Bruce Dern;Alan Hale Jr.;Hang 'Em High ;7.0;1968.0
4370;Richard Brooks;Humphrey Bogart;Jim Backus;Kim Hunter;Deadline - U.S.A. ;7.2;1952.0
4380;J. Lee Thompson;Roddy McDowall;Gordon Jump;John Randolph;Conquest of the Planet of the Apes ;6.1;1972.0
4387;Frank Capra;Jean Arthur;Ann Miller;Lionel Barrymore;You Can't Take It with You ;8.0;1938.0
4388;Fred Zinnemann;Montgomery Clift;Donna Reed;Deborah Kerr;From Here to Eternity ;7.8;1953.0
4389;John Ford;Harry Carey Jr.;Ben Johnson;Victor McLaglen;She Wore a Yellow Ribbon ;7.4;1949.0
4396;Francis Ford Coppola;Harrison Ford;Teri Garr;Cindy Williams;The Conversation ;7.9;1974.0
4398;François Truffaut;Catherine Deneuve;Jean-Paul Belmondo;Michel Bouquet;Mississippi Mermaid ;7.2;1969.0
4403;Newt Arnold;Bolo Yeung;Donald Gibb;Ken Siu;Bloodsport ;6.8;1988.0
4404;Frank Capra;Claude Rains;Jean Arthur;Thomas Mitchell;Mr. Smith Goes to Washington ;8.2;1939.0
4410;Alfred Hitchcock;Norman Lloyd;Rhonda Fleming;Leo G. Carroll;Spellbound ;7.6;1945.0
4414;Alex Cox;Del Zamora;Tracey Walter;Miguel Sandoval;Repo Man ;6.9;1984.0
4427;Charles Chaplin;Paulette Goddard;Stanley Blystone;Fred Malatesta;Modern Times ;8.6;1936.0
4449;William Cottrell;Adriana Caselotti;Billy Gilbert;Lucille La Verne;Snow White and the Seven Dwarfs ;7.7;1937.0
4451;Edward Dmytryk;Brigitte Bardot;Woody Strode;Honor Blackman;Shalako ;5.5;1968.0
4457;Leslie H. Martinson;Burgess Meredith;Cesar Romero;Burt Ward;Batman: The Movie ;6.5;1966.0
4459;Robert M. Young;Barry Corbin;Bruce McGill;Ned Beatty;The Ballad of Gregorio Cortez ;7.1;1982.0
4469;Paul Donovan;Maury Chaykin;Lenore Zann;Tim Choate;Def-Con 4 ;4.3;1985.0
4474;Alfred Hitchcock;Laurence Olivier;Joan Fontaine;George Sanders;Rebecca ;8.2;1940.0
4475;Steve Miner;Betsy Palmer;Adrienne King;Amy Steel;Friday the 13th Part 2 ;6.1;1981.0
4476;Billy Wilder;Ray Milland;Jane Wyman;Frank Faylen;The Lost Weekend ;8.0;1945.0
4477;Douglas Cheek;Daniel Stern;John Heard;Sam McMurray;C.H.U.D. ;5.5;1984.0
4480;Henry Hathaway;Joseph Cotten;Jean Peters;Will Wright;Niagara ;7.1;1953.0
4481;John Ford;Roddy McDowall;Walter Pidgeon;Barry Fitzgerald;How Green Was My Valley ;7.8;1941.0
4484;Steven Soderbergh;Peter Gallagher;Laura San Giacomo;Steven Brill;Sex, Lies, and Videotape ;7.2;1989.0
4492;Alfred Hitchcock;Jerry Mathers;John Forsythe;Royal Dano;The Trouble with Harry ;7.2;1955.0
4497;Walter Lang;Spring Byington;Nigel Bruce;Gale Sondergaard;The Blue Bird ;6.5;1940.0
4498;Sergio Leone;Clint Eastwood;Luigi Pistilli;Enzo Petito;The Good, the Bad and the Ugly ;8.9;1966.0
4508;Michael Curtiz;Errol Flynn;David Niven;Spring Byington;The Charge of the Light Brigade ;7.1;1936.0
4512;Ossie Davis;Redd Foxx;Cleavon Little;Calvin Lockhart;Cotton Comes to Harlem ;6.6;1970.0
4518;Jeff Burr;Terry Kiser;Clu Gulager;Susan Tyrrell;From a Whisper to a Scream ;5.9;1987.0
4526;Michael Curtiz;Humphrey Bogart;Claude Rains;Conrad Veidt;Casablanca ;8.6;1942.0
4529;Douglas Trumbull;Bruce Dern;Ron Rifkin;Jesse Vint;Silent Running ;6.7;1972.0
4530;John G. Avildsen;Sylvester Stallone;Burgess Meredith;Carl Weathers;Rocky ;8.1;1976.0
4532;John Carpenter;Jamie Lee Curtis;Hal Holbrook;Janet Leigh;The Fog ;6.8;1980.0
4533;Tony Richardson;Albert Finney;Susannah York;Hugh Griffith;Tom Jones ;6.8;1963.0
4535;Martin Scorsese;Robert De Niro;Albert Brooks;Peter Boyle;Taxi Driver ;8.3;1976.0
4536;Joe Dante;Patrick Macnee;Robert Picardo;Dee Wallace;The Howling ;6.6;1981.0
4537;Terence Young;Ursula Andress;Jack Lord;Lois Maxwell;Dr. No ;7.3;1962.0
4539;Clive Barker;Andrew Robinson;Ashley Laurence;Clare Higgins;Hellraiser ;7.0;1987.0
4546;Russ Meyer;Charles Napier;Cynthia Myers;Harrison Page;Beyond the Valley of the Dolls ;6.2;1970.0
4547;Robert D. Webb;James Drury;Neville Brand;Debra Paget;Love Me Tender ;6.2;1956.0
4549;Allan Dwan;James Brown;Richard Jaeckel;Forrest Tucker;Sands of Iwo Jima ;7.2;1949.0
4573;Mel Brooks;Madeline Kahn;Sid Caesar;Dom DeLuise;History of the World: Part I ;6.9;1981.0
4614;Guy Hamilton;Oliver Reed;Eddie Albert;Louise Sorel;The Party's Over ;7.3;1965.0
4632;Ralph Nelson;Cliff Robertson;Dick Van Patten;Claire Bloom;Charly ;7.1;1968.0
4638;Elia Kazan;Marlon Brando;Karl Malden;Rod Steiger;On the Waterfront ;8.2;1954.0
4647;James Algar;Sam Edwards;Donnie Dunagan;Ann Gillis;Bambi ;7.4;1942.0
4664;Georg Wilhelm Pabst;Louise Brooks;Francis Lederer;Fritz Kortner;Pandora's Box ;8.0;1929.0
4674;George Lucas;Harrison Ford;Ron Howard;Mackenzie Phillips;American Graffiti ;7.5;1973.0
4682;Bernardo Bertolucci;Jean-Louis Trintignant;Stefania Sandrelli;Dominique Sanda;The Conformist ;8.1;1970.0
4687;Fred Zinnemann;Gary Cooper;Lloyd Bridges;Lon Chaney Jr.;High Noon ;8.1;1952.0
4706;Mark Sandrich;Ginger Rogers;Edward Everett Horton;Eric Blore;Top Hat ;7.8;1935.0
4708;Michael Wadleigh;Joe Cocker;Jimi Hendrix;Joan Baez;Woodstock ;8.1;1970.0
4709;John Landis;David Zucker;Barry Dennen;Tara Strohmeier;The Kentucky Fried Movie ;6.5;1977.0
4719;Richard Lester;Paul McCartney;Ringo Starr;George Harrison;A Hard Day's Night ;7.7;1964.0
4721;Amy Holden Jones;Jamie Lee Curtis;Sally Kirkland;Amy Madigan;Love Letters ;6.1;1983.0
